county,month,labor_force,employed,unemployed,unemployment_rate
Suffolk,1990-09,707100,673700,33400,4.7
Sullivan,1990-09,33700,32300,1400,4.1
Tioga,1990-09,26300,25400,900,3.6
Tompkins,1990-09,49100,47100,1900,3.9
Ulster,1990-09,84300,81200,3000,3.6
Warren,1990-09,30600,29300,1300,4.4
Washington,1990-09,28600,27200,1400,4.9
Wayne,1990-09,45900,44100,1800,3.8
Westchester,1990-09,471600,453700,17900,3.8
Wyoming,1990-09,19600,18700,900,4.5
Yates,1990-09,10800,10300,500,4.5
Albany,1990-10,158600,153800,4800,3.0
Allegany,1990-10,23100,21700,1300,5.6
Bronx,1990-10,459000,418200,40800,8.9
Broome,1990-10,104600,100700,3900,3.7
Cattaraugus,1990-10,38900,36700,2200,5.6
Cayuga,1990-10,39600,37400,2200,5.6
Chautauqua,1990-10,67800,64200,3600,5.3
Chemung,1990-10,44000,42000,2000,4.6
Chenango,1990-10,24700,23500,1200,4.8
Clinton,1990-10,40300,38300,2000,5.0
Columbia,1990-10,30900,30000,900,2.9
Cortland,1990-10,24300,23000,1300,5.3
Delaware,1990-10,21500,20600,900,4.3
Dutchess,1990-10,133300,129200,4100,3.1
Erie,1990-10,479800,456600,23200,4.8
Essex,1990-10,17900,16800,1100,6.4
Franklin,1990-10,20200,19000,1200,6.0
Fulton,1990-10,26300,24200,2100,8.1
Genesee,1990-10,31300,29900,1400,4.4
Greene,1990-10,20700,19800,900,4.3
Hamilton,1990-10,2600,2500,200,5.9
Herkimer,1990-10,30200,28400,1700,5.8
Jefferson,1990-10,46100,42600,3400,7.5
Kings,1990-10,957700,878500,79200,8.3
Lewis,1990-10,12200,11600,600,5.3
Livingston,1990-10,32200,31000,1200,3.7
Madison,1990-10,35400,34100,1400,3.9
Monroe,1990-10,378800,366500,12300,3.3
Montgomery,1990-10,24300,22900,1400,5.7
Nassau,1990-10,698000,669600,28400,4.1
New York,1990-10,778900,728500,50400,6.5
Niagara,1990-10,108900,103900,5000,4.6
Oneida,1990-10,113900,109500,4400,3.8
Onondaga,1990-10,246800,238000,8800,3.6
Ontario,1990-10,50700,48900,1800,3.5
Orange,1990-10,152500,146000,6500,4.2
Orleans,1990-10,19400,18500,900,4.5
Oswego,1990-10,57500,54300,3300,5.7
Otsego,1990-10,30200,29100,1100,3.8
Putnam,1990-10,47600,46000,1600,3.4
Queens,1990-10,949400,888800,60600,6.4
Rensselaer,1990-10,81500,78400,3100,3.8
Richmond,1990-10,179700,168200,11500,6.4
Rockland,1990-10,144100,138800,5300,3.7
